AppID,GenreID
730,1
730,37
570,1
570,2
570,37
578080,1
578080,25
578080,29
578080,37
1172710,1
1172710,25
1172710,3
3419430,4
3419430,23
3419430,29
3419430,28
3419430,37
238960,1
238960,25
238960,23
238960,29
238960,3
238960,37
252490,1
252490,25
252490,23
252490,29
252490,3
359550,1
359550,37
2622380,1
2622380,3
2923300,25
2923300,4
2923300,28
2923300,2
2923300,37
271590,1
271590,25
2767030,1
2767030,37
1172470,1
1172470,25
1172470,37
1086940,25
1086940,3
1086940,2
3489700,1
3489700,25
3489700,3
1938090,1
236390,1
236390,29
236390,28
236390,37
2669320,28
2669320,18
431960,4
431960,23
431960,51
431960,53
431960,55
431960,57
2252570,28
2252570,18
2252570,2
553850,1
221100,1
221100,25
221100,29
2507950,1
2507950,25
2507950,29
2507950,37
413150,23
413150,3
413150,28
1366800,1
1366800,25
1366800,23
1366800,51
1366800,53
1366800,54
1366800,55
1366800,57
1366800,60
381210,1
440,1
440,37
394360,28
394360,2
3240220,1
3240220,25
3240220,9
3241660,1
3241660,70
230410,1
230410,3
230410,37
322170,1
322170,23
1245620,1
1245620,3
346110,1
346110,25
346110,23
346110,29
346110,3
1174180,1
1174180,25
1222670,25
1222670,4
1222670,28
1222670,37
1903340,1
1903340,3
438100,25
438100,4
438100,29
438100,28
438100,18
438100,37
438100,70
227300,23
227300,28
526870,25
526870,23
526870,28
526870,2
1091500,3
294100,23
294100,28
294100,2
2300320,28
289070,2
108600,23
108600,3
108600,28
108600,70
489830,3
4000,4
4000,23
4000,28
3188910,4
3188910,23
3188910,3
3188910,28
3188910,37
105600,1
105600,25
105600,23
105600,3
251570,1
251570,25
251570,23
251570,3
251570,28
251570,2
1281930,1
1281930,25
1281930,23
1281930,3
1281930,37
550,1
2139460,1
2139460,25
2139460,3
2139460,28
2139460,2
2139460,37
1142710,1
1142710,2
1085660,1
1085660,25
1085660,37
3164500,1
3164500,23
3164500,28
3164500,2
3164500,70
427520,4
427520,23
427520,28
427520,2
892970,1
892970,25
892970,23
892970,3
892970,70
1671210,23
1671210,3
2357570,1
2357570,37
292030,3
261550,1
261550,23
261550,3
261550,28
261550,2
2073850,1
2073850,37
2399830,1
2399830,25
2399830,23
2399830,29
2399830,3
2399830,70
322330,1
322330,25
322330,23
322330,3
322330,28
322330,2
252950,1
252950,23
252950,9
252950,18
284160,9
284160,28
284160,70
629520,52
629520,57
218620,1
218620,3
813780,2
1158310,3
1158310,28
1158310,2
39210,29
39210,3
250900,1
2694490,1
2694490,25
2694490,29
2694490,3
2694490,70
236850,28
236850,2
1551360,1
1551360,25
1551360,9
1551360,28
1551360,18
3513350,1
3513350,25
3513350,3
3513350,37
1623730,1
1623730,25
1623730,23
1623730,3
1623730,70
2878980,28
2878980,18
281990,28
281990,2
306130,1
306130,25
306130,29
306130,3
2379780,4
2379780,23
2379780,2
8930,2
2429640,1
2429640,25
2429640,29
2429640,3
2429640,37
1203220,1
1203220,25
1203220,29
1449850,28
1449850,2
1449850,37
275850,1
275850,25
1203620,1
1203620,25
1203620,23
1203620,3
1203620,70
377160,3
739630,1
739630,23
739630,70
291550,1
291550,23
291550,37
582660,1
582660,25
582660,29
582660,3
582660,2
393380,1
393380,23
393380,29
393380,2
107410,1
107410,28
107410,2
1874880,1
1874880,28
1874880,2
1905180,57
1905180,58
1665460,28
1665460,18
1665460,37
2707930,25
2707930,4
2707930,23
2707930,3
2707930,28
2707930,37
240,1
1599340,1
1599340,25
1599340,29
1599340,3
1599340,37
3527290,1
3527290,25
3527290,23
2138720,1
2138720,23
2138720,18
513710,1
513710,25
513710,23
513710,29
1237950,1
1237950,25
1604270,2
2584990,4
2584990,3
2584990,2
2584990,37
594650,1
2873440,1
2873440,25
2873440,29
2873440,3
529340,28
529340,2
960090,2
3350200,25
3350200,23
3350200,3
3350200,2
1771300,1
1771300,25
1771300,3
1326470,1
1326470,25
1326470,23
1326470,28
3061570,25
3061570,3
3061570,37
1361210,1
1361210,25
1361210,3
2183900,1
2183900,25
2183900,3
3224770,28
3224770,18
3224770,37
1850570,1
1850570,25
2452280,1
2452280,29
2452280,37
2246340,1
2246340,25
2246340,3
2344520,1
2344520,3
1818450,1
1818450,25
1818450,29
1818450,3
1818450,37
242760,1
242760,25
242760,23
242760,28
1244460,28
1244460,2
2358720,1
2358720,25
2358720,3
1144200,1
1144200,25
1144200,23
1973530,1
1973530,3
1973530,2
3024040,28
3024040,2
244210,23
244210,9
244210,28
244210,18
